,name,ra,dec,grade/score
29,PS1J1422+4246,215.6708333333333,42.76888888888889,2.75
30,PS1J1411+2313,212.77083333333331,23.232499999999998,2.75
31,PS1J1349+0537,207.31249999999997,5.630833333333334,2.75
32,PS1J1241+2721,190.40416666666667,27.356944444444444,2.75
33,PS1J1206+2336,181.71249999999998,23.600555555555555,2.75
34,PS1J1111+4329,167.97916666666666,43.48638888888889,2.75
35,PS1J0921+0214,140.40416666666667,2.2358333333333333,2.75
36,PS1J0907+4233,136.86666666666665,42.550555555555555,2.75
37,PS1J0737+1914,114.29166666666667,19.243333333333336,2.75
38,PS1J0717+4624,109.42083333333332,46.40861111111111,2.75
39,PS1J0520-2008,80.01249999999999,-20.134444444444444,2.75
40,PS1J0454-0016,73.5125,-0.2708333333333333,2.75
41,PS1J0454-0308,73.50416666666666,-3.142777777777778,2.75
42,PS1J0354-2420,58.695833333333326,-24.3375,2.75
43,PS1J0143+1607,25.958333333333332,16.1275,2.75
44,PS1J2355+3252,358.8666666666667,32.87916666666667,2.5
45,PS1J2343-0030,355.9958333333333,-0.5061111111111111,2.5
46,PS1J2338-1321,354.68749999999994,-13.358888888888888,2.5
47,PS1J2322+1821,350.51666666666665,18.358333333333334,2.5
48,PS1J2210+0620,332.64166666666665,6.334444444444444,2.5
49,PS1J2208+0446,332.0208333333333,4.7675,2.5
50,HSCJ0904–0102,136.12395833333332,-1.0411833333333333,3.0
