,Unnamed: 0,Names,RA,DEC,Classification,Tile,X,Y,band_nb,bands_list
117,255,J135525+503250,208.857143,50.547389,0.98,266.281,tbd,tbd,1,r
118,257,J164113+370415,250.304317,37.070838,0.99,400.254,tbd,tbd,2,ur
119,261,J100021+474746,150.090655,47.796124,0.99,201.276,tbd,tbd,2,rg
120,262,J123129+302224,187.874467,30.37355,0.95,324.241,tbd,tbd,2,ur
121,263,J162540+331556,246.4202,33.265777,0.81,411.247,tbd,tbd,2,ur
122,264,J160903+335108,242.265886,33.852487,0.86,402.248,tbd,tbd,2,ur
123,267,J100422+364821,151.093545,36.805996,0.73,241.254,tbd,tbd,2,ur
124,268,J234324+305858,355.852619,30.982916,0.9,610.242,tbd,tbd,3,urg
125,269,J165402+444252,253.51002,44.71453,0.98,362.269,tbd,tbd,2,ur
126,270,J081258+305338,123.242546,30.894062,0.95,211.242,tbd,tbd,3,urg
127,271,PS1J2226+0041,336.5375,0.6950000000000001,3.0,673.181,tbd,tbd,1,u
128,274,PS1J1559+3147,239.8458333333333,31.78666666666667,3.0,407.244,tbd,tbd,2,ur
129,285,PS1J2348+0148,357.18749999999994,1.8097222222222225,2.75,714.184,tbd,tbd,1,u
130,288,PS1J2247+1801,341.8333333333333,18.0225,2.75,650.216,tbd,tbd,1,u
131,289,PS1J2233+3012,338.39166666666665,30.20638888888889,2.75,586.240,tbd,tbd,1,u
132,290,PS1J2202+0614,330.71666666666664,6.247222222222223,2.75,658.192,tbd,tbd,1,u
133,293,PS1J1749+2330,267.29999999999995,23.51,2.75,490.227,tbd,tbd,1,u
134,296,PS1J1555+4151,238.825,41.86083333333333,2.75,355.264,tbd,tbd,1,r
135,298,PS1J1445+3649,221.475,36.83027777777778,2.75,354.254,tbd,tbd,1,u
136,301,PS1J1411+2313,212.7708333333333,23.2325,2.75,392.226,tbd,tbd,1,u
137,303,PS1J1241+2721,190.40416666666667,27.356944444444444,2.75,338.235,tbd,tbd,1,u
138,304,PS1J1206+2336,181.7125,23.600555555555555,2.75,333.227,tbd,tbd,1,u
139,305,PS1J1111+4329,167.97916666666666,43.48638888888889,2.75,244.267,tbd,tbd,3,urg
140,307,PS1J0907+4233,136.86666666666665,42.55055555555556,2.75,202.265,tbd,tbd,3,urg
141,314,PS1J0143+1607,25.95833333333333,16.1275,2.75,050.212,tbd,tbd,1,u
142,315,PS1J2355+3252,358.8666666666667,32.87916666666667,2.5,602.246,tbd,tbd,3,urg
143,316,PS1J2343-0030,355.9958333333333,-0.5061111111111111,2.5,712.179,tbd,tbd,1,u
144,318,PS1J2322+1821,350.51666666666665,18.35833333333333,2.5,665.217,tbd,tbd,1,u
145,319,PS1J2210+0620,332.64166666666665,6.334444444444444,2.5,661.193,tbd,tbd,1,u
146,320,PS1J2208+0446,332.0208333333333,4.7675,2.5,662.190,tbd,tbd,1,u
147,322,,30.799484252929688,-0.3763532936573028,,062.179,tbd,tbd,1,u
148,323,,32.393985748291016,0.2462966442108154,,065.181,tbd,tbd,1,u
149,324,,37.707366943359375,-0.5432816743850708,,075.179,tbd,tbd,1,u
150,325,,37.89276885986328,0.4123557209968567,,076.181,tbd,tbd,1,u
151,326,,36.53091430664063,1.1712994575500488,,073.182,tbd,tbd,1,u
152,328,,111.5349578857422,41.08723449707031,,168.262,tbd,tbd,1,u
153,329,,113.00106811523438,41.52101516723633,,169.263,tbd,tbd,3,urg
154,330,,112.96936798095705,36.58921813964844,,182.253,tbd,tbd,3,urg
155,331,,116.9696807861328,47.483543395996094,,158.275,tbd,tbd,3,urg
156,333,,116.38995361328124,40.18168258666992,,178.260,tbd,tbd,3,urg
157,334,,116.6951904296875,43.76601791381836,,168.268,tbd,tbd,3,urg
158,335,,117.56153106689452,46.13488006591797,,163.272,tbd,tbd,3,urg
159,336,,117.16383361816406,45.33489227294922,,164.271,tbd,tbd,3,urg
160,337,,119.47540283203124,43.23160552978516,,175.266,tbd,tbd,3,urg
161,338,,116.8947982788086,44.81648254394531,,165.270,tbd,tbd,3,urg
162,339,,116.85051727294922,50.92707824707031,,147.282,tbd,tbd,3,urg
163,340,,119.54622650146484,46.01140975952149,,166.272,tbd,tbd,3,urg
164,341,,117.68868255615234,52.66735458374024,,143.285,tbd,tbd,2,rg
165,342,,119.48474884033205,47.8369026184082,,160.276,tbd,tbd,3,urg
166,343,,120.5327377319336,42.81989669799805,,176.266,tbd,tbd,3,urg
167,344,,124.08325958251952,45.35491943359375,,174.271,tbd,tbd,3,urg
168,345,,127.70722198486328,51.2755126953125,,159.283,tbd,tbd,2,rg
169,347,,130.34059143066406,50.289005279541016,,166.281,tbd,tbd,3,urg
170,348,,129.3625946044922,49.61769485473633,,168.279,tbd,tbd,3,urg
171,349,,127.73773956298828,49.67631530761719,,166.279,tbd,tbd,3,urg
172,350,,130.2257843017578,50.86476135253906,,164.282,tbd,tbd,3,urg
173,351,,38.533050537109375,1.1766151189804075,,077.182,tbd,tbd,1,u
174,352,,117.28070831298828,33.1096076965332,,197.246,tbd,tbd,3,urg
175,353,,120.55625915527344,29.4488468170166,,210.239,tbd,tbd,2,ur
176,355,,128.5094757080078,39.146854400634766,,200.258,tbd,tbd,3,urg
177,373,,121.60295104980467,38.20323181152344,,192.256,tbd,tbd,3,urg
178,374,,126.01097869873048,41.839298248291016,,187.264,tbd,tbd,3,urg
179,397,,176.18377685546875,0.3355169594287872,,352.181,tbd,tbd,1,u
180,398,,177.58457946777344,0.5386305451393127,,355.181,tbd,tbd,1,u
181,400,,183.7684936523437,0.7905692458152771,,367.182,tbd,tbd,1,u
182,401,,207.2929229736328,36.21104049682617,,335.252,tbd,tbd,1,u
183,402,,208.1549072265625,38.07928466796875,,328.256,tbd,tbd,1,u
184,403,,209.1029815673828,36.13256072998047,,338.252,tbd,tbd,1,u
185,404,,206.11651611328125,32.9734992980957,,346.246,tbd,tbd,2,ug
186,405,,209.42030334472656,34.568546295166016,,345.249,tbd,tbd,2,ur
187,406,,215.928466796875,35.917762756347656,,349.252,tbd,tbd,1,u
188,407,,217.5374450683593,34.81956481933594,,356.250,tbd,tbd,2,ur
189,408,,209.420150756836,32.25056457519531,,353.245,tbd,tbd,3,urg
190,409,,208.07913208007807,32.28104782104492,,351.245,tbd,tbd,3,urg
191,411,,210.6987152099609,32.36563873291016,,355.245,tbd,tbd,2,ur
192,412,,214.749267578125,31.726890563964844,,366.243,tbd,tbd,2,ur
193,413,,214.8411865234375,31.462587356567383,,366.243,tbd,tbd,2,ur
194,414,,223.2464141845703,33.39704895019531,,372.247,tbd,tbd,1,u
195,415,,224.00352478027344,33.457237243652344,,374.247,tbd,tbd,1,u
196,416,,227.8374786376953,27.88119506835937,,402.236,tbd,tbd,1,u
197,417,,217.03146362304688,29.69189643859864,,378.239,tbd,tbd,1,u
198,418,,222.6483917236328,29.652204513549805,,388.239,tbd,tbd,1,u
199,419,,220.7076568603516,29.89920234680176,,382.240,tbd,tbd,1,u
200,420,,225.9403533935547,32.428348541259766,,381.245,tbd,tbd,1,u
201,422,,230.7743988037109,28.727928161621094,,406.237,tbd,tbd,1,u
202,423,,230.2823486328125,30.30081558227539,,397.241,tbd,tbd,2,ur
203,424,,239.8575897216797,18.24785614013672,,455.217,tbd,tbd,1,u
204,426,,240.2000427246093,22.68906784057617,,444.225,tbd,tbd,1,u
205,427,,236.51983642578125,21.39068031311035,,440.223,tbd,tbd,1,u
206,428,,235.3273468017578,18.209760665893555,,448.216,tbd,tbd,1,u
207,429,,235.496810913086,19.91468620300293,,443.220,tbd,tbd,1,u
208,430,,241.1983642578125,24.49383544921875,,439.229,tbd,tbd,1,u
209,431,,237.8859100341797,23.90439796447754,,435.228,tbd,tbd,1,u
210,432,,234.19354248046875,19.73345184326172,,442.219,tbd,tbd,1,u
211,433,,236.01124572753903,26.17117691040039,,424.232,tbd,tbd,1,u
212,434,,235.8872833251953,25.56217384338379,,426.231,tbd,tbd,1,u
213,435,,229.79083251953125,20.174449920654297,,432.220,tbd,tbd,1,u
214,437,,236.264892578125,27.80147171020508,,417.236,tbd,tbd,1,u
215,438,,227.58792114257807,19.04744529724121,,430.218,tbd,tbd,1,u
216,439,,227.24366760253903,21.32998275756836,,423.223,tbd,tbd,1,u
217,440,,227.9683532714844,20.48159980773925,,427.221,tbd,tbd,1,u
218,441,,233.1170654296875,27.98976707458496,,412.236,tbd,tbd,1,u
219,442,,232.9289093017578,27.071382522583008,,415.234,tbd,tbd,1,u
220,443,,229.88368225097656,25.78388977050781,,413.232,tbd,tbd,1,u
221,444,,230.0880126953125,26.05983543395996,,414.232,tbd,tbd,1,u
222,445,,229.9515075683593,24.179039001464844,,420.228,tbd,tbd,1,u
223,446,,230.53973388671875,29.17274475097656,,403.238,tbd,tbd,2,ur
224,447,,185.46632385253903,38.10292434692383,,292.256,tbd,tbd,2,ur
225,449,,189.6454925537109,36.92124938964844,,303.254,tbd,tbd,2,ur
226,451,,190.0366058349609,33.68146896362305,,317.247,tbd,tbd,2,ur
227,453,,191.7403564453125,36.54717254638672,,308.253,tbd,tbd,2,ur
228,454,,195.9207000732422,34.933807373046875,,321.250,tbd,tbd,2,ur
229,455,,196.68276977539065,36.08796691894531,,318.252,tbd,tbd,2,ur
230,456,,198.2679748535156,36.51178741455078,,319.253,tbd,tbd,2,ur
231,457,,201.4706268310547,37.428321838378906,,320.255,tbd,tbd,2,ur
232,458,,201.93348693847656,37.41809844970703,,320.255,tbd,tbd,2,ur
233,495,,243.6397705078125,19.96159172058105,,458.220,tbd,tbd,1,u
234,496,,243.8481292724609,20.943418502807617,,455.222,tbd,tbd,1,u
235,498,,246.9773864746093,19.168025970458984,,467.218,tbd,tbd,1,u
236,499,,244.6947326660156,19.50741577148437,,461.219,tbd,tbd,1,u
237,500,,247.959701538086,18.901126861572266,,469.218,tbd,tbd,1,u
238,508,,319.7746887207031,4.296017169952393,,638.189,tbd,tbd,1,u
239,509,,318.6181030273437,6.745689868927002,,632.194,tbd,tbd,1,u
240,510,,321.2944641113281,4.192103862762451,,641.188,tbd,tbd,1,u
241,511,,320.7168273925781,4.159868717193604,,640.188,tbd,tbd,1,u
242,512,,325.6924743652344,2.530424118041992,,651.185,tbd,tbd,1,u
243,513,,325.8925170898437,4.06714391708374,,650.188,tbd,tbd,1,u
244,514,,325.1170349121094,5.88031816482544,,647.192,tbd,tbd,1,u
245,515,,322.19683837890625,8.95446491241455,,636.198,tbd,tbd,1,u
246,516,,323.5965270996094,10.148033142089844,,637.200,tbd,tbd,1,u
247,517,,329.2131652832031,4.755843162536621,,656.190,tbd,tbd,1,u
248,518,,326.9429016113281,5.382678985595703,,651.191,tbd,tbd,1,u
249,519,,327.2757873535156,5.72920560836792,,652.191,tbd,tbd,1,u
250,520,,328.0835266113281,5.412834167480469,,653.191,tbd,tbd,1,u
251,521,,324.1933898925781,9.904826164245604,,639.200,tbd,tbd,1,u
252,522,,324.8428039550781,10.35268497467041,,639.201,tbd,tbd,1,u
253,523,,329.3705749511719,8.874276161193848,,651.198,tbd,tbd,1,u
254,524,,329.9481201171875,5.335432052612305,,657.191,tbd,tbd,1,u
255,525,,329.1662292480469,3.98337721824646,,657.188,tbd,tbd,1,u
256,526,,328.8948974609375,6.924764156341553,,653.194,tbd,tbd,1,u
257,527,,257.4371032714844,21.25175666809082,,479.223,tbd,tbd,1,u
258,528,,254.676025390625,19.77569007873535,,479.220,tbd,tbd,1,u
259,529,,255.44566345214844,23.03942108154297,,470.226,tbd,tbd,1,u
260,530,,252.7368011474609,21.057920455932617,,472.222,tbd,tbd,1,u
261,531,,250.420654296875,22.41593742370605,,463.225,tbd,tbd,1,u
262,532,,251.796615600586,26.210580825805664,,453.232,tbd,tbd,1,u
263,533,,253.5000457763672,27.522441864013672,,450.235,tbd,tbd,1,u
264,534,,249.3083953857422,23.60320281982422,,457.227,tbd,tbd,1,u
265,535,,249.3249969482422,23.61686515808105,,457.227,tbd,tbd,1,u
266,536,,249.9130096435547,26.41708755493164,,447.233,tbd,tbd,1,u
267,537,,249.10877990722656,27.58998680114746,,442.235,tbd,tbd,1,u
268,538,,324.2871398925781,0.0349543020129203,,649.180,tbd,tbd,1,u
269,540,,332.2916564941406,1.1700979471206665,,664.182,tbd,tbd,1,u
270,541,,345.89654541015625,0.6175486445426941,,692.181,tbd,tbd,1,u
271,543,,10.926358222961426,-0.0498495772480964,,022.180,tbd,tbd,1,u
272,544,,11.581817626953123,-0.6261070370674133,,023.179,tbd,tbd,1,u
273,545,,10.85733699798584,0.3001928329467773,,022.181,tbd,tbd,1,u
